NOM;DOSAGE1;FORME
URO / EAU POUR IRRIGATION;3000;SOLUTION POUR IRRIGATION
ELOXATINE 5 MG/ML;200;SOLUTION A DILUER POUR PERFUSION
ELOXATINE 5 MG/ML;200;SOLUTION A DILUER POUR PERFUSION
VIVALAN;100;COMPRIME PELLICULE
ZADRYL;1;SOLUTION BUVABLE
MYNAZOL;50;GELULE
ALFACEFAL 125 MG/5 ML;1.5;POUDRE POUR SUSPENSION BUVABLE
NOCAND 50 MG;50;GELULE
MEDIATOR;150;COMPRIME ENROBE
GASTROLIBER;30;GELULE GASTRO-RESISTANTE
CLOFENE;25;COMPRIME ENROBE GASTRO-RESISTANT
ZELDOX;40;GELULE
TRIFLUCAN;2;SOLUTION POUR PERFUSION
AVT;600 / 5;SUPPOSITOIRE
KLONOPIN;2;COMPRIME QUADRISECABLE
HYDROXO 5000;5000;SOLUTION INJECTABLE
DISPAMOX;500;COMPRIME DISPERSIBLE
MUSARIL;50;COMPRIME ENROBE
PRETERAX;0.625 / 2;COMPRIME SECABLE
CLAFORAN;1;POUDRE POUR SOLUTION INJECTABLE
RHINOFEBRAL;240 / 3.2;GELULE
RIFASONE;0.25 / 1;POMMADE
FLUIBRON;0.3;SOLUTION BUVABLE
AMOXIL;500;POUDRE POUR SUSPENSION BUVABLE
BENCLAMID;5;COMPRIME
UNASYN;1 / 0.5;POUDRE POUR SOLUTION INJECTABLE
LASILIX;20;SOLUTION INJECTABLE
DILATOR;2.5;SOLUTION POUR INHALATION PAR NEBULISEUR
DILATOR;2.5;SOLUTION POUR INHALATION PAR NEBULISEUR
FORMOFTIL;0.05;COLLYRE
GENTAGAM 120;120;SOLUTION INJECTABLE
UMILINE PROFIL 30 PEN;100;SUSPENSION INJECTABLE INTERMEDIAIRE
BIRODOGYL;1.5 / 250;COMPRIME PELLICULE
GLEMA;2;COMPRIME
SALAZOPYRIN;500;COMPRIME ENROBE GASTRO-RESISTANT
XANTHIUM LP;300;GELULE LP
AIRLIX;1;SOLUTION BUVABLE
GYNOMYK;100;OVULE
AVASTIN;100;SOLUTION A DILUER POUR PERFUSION
FLUMAX 6000 UI ANTI-XA/0.6ML;6000;SOLUTION INJECTABLE
PARAPLATINE;50;SOLUTION POUR PERFUSION
TRIFAX IV;500;POUDRE POUR SOLUTION INJECTABLE
GLUCOVANCE;500 / 2.5;COMPRIME PELLICULE
IXOR;10;COMPRIME EFFERVESCENT
PENICILLINE G 1 M UI DIAMANT;1;POUDRE POUR SOLUTION INJECTABLE
DIPRIVAN;500;EMULSION INJECTABLE
NEORAL;100;SOLUTION BUVABLE
XANTHIUM LP;200;GELULE LP
AGIDERM;2;POMMADE
GYNO CANESTEN;1;CREME VAGINALE
CIPRO LP 500 MG;500;COMPRIME PELLICULE LP
CIFLOXINE;500;COMPRIME ENROBE GASTRO-RESISTANT
SUPRIMASE;150;GELULE
MEDIVEINE;300;COMPRIME PELLICULE
PURSENNIDE;20;COMPRIME ENROBE
IDEOS;500 / 400;COMPRIME A SUCER
NORMACOL LAVEMENT AD;23.66 / 10.4;SOLUTION RECTALE
